"Name","abv","year","PriceRetail","Appellation_Region_Name","Varietal_Name","Varietal_WineType_Name","Winemakers_Notes"
"La Crema Los Carneros Pinot Noir 2010",14.5,2010,34.99,"California","Pinot Noir","Red Wines","A late and even cooler-than-average season, the 2010 harvest yielded wines of elegant structure and finesse. The 2010 Los Carneros release is an excellent example of the region's dark, earthy style with a smooth, silky texture that emphasizes the juicy acidity and rich, savory quality of the vintage. The nose is highlighted by lovely forest floor elements, including hints of cedar and morels, while the palate is rich with dark plum, cocoa powder, espresso and clove."
"Pahlmeyer Jayson Pinot Noir 2006",14.9,2006,44.99,"California","Pinot Noir","Red Wines","The 2006 Jayson Pinot Noir is saturated red in color. It has profuse scents of red currant and raspberry deepened by aromas of smoke and pancetta. Flavors of milk chocolate dipped strawberries are firmed up by allspice and mineral tones. This wine is approachable, juicy and creamy with a long lingering finish."
"Renwood Winery Grandpere Zinfandel 2007",14.5,2007,42.99,"California","Zinfandel","Red Wines","Our blend for the 2007 Zinfandel is accented with Barbera and Alicante. Great color, luscious berry fruit flavors, scents from the French Oak aging and firm chalky tannins round out this sensational wine."
"Neudorf Moutere Pinot Noir 2009",14,2009,49.99,"New Zealand","Pinot Noir","Red Wines","This 2009 is a lovely dusty velvet color, but Pinot Noir is all about the nose. A swirl in the glass brings forth notes of sweet violets, layers of fruits, chocolate, coffee, and lavender with hints of fine spices; brambles and undergrowth characters summon up distant memories of forgotten summers. The wine is seamless and round with that pinot earthy savouryness flowing through the palate. Hints of licorices with a minerality not linked to acidity. The overall effect is one of sweet ripe fruit wrapped with delicate tannins and subtle oak."
"Blackstone Sonoma Reserve Cabernet Sauvignon 2009",14.4,2009,17.99,"California","Cabernet Sauvignon","Red Wines","Our 2009 Blackstone Sonoma Reserve Cabernet Sauvignon is full of ripe flavors and soft round textures with notes of plum, cassis, cigar box, and vanilla. Oak aging contributes toasty spice overtones and plenty of smooth weight to the wine. This full-bodied red will nicely age for 7 10 years and go swimmingly with perfectly cooked steak and other red meats."
"Plantagenet Omrah Shiraz 2009",14.4,2009,20,"Australia","Syrah/Shiraz","Red Wines","A dense yet supple harmonious wine palate. Lovely plush tannins, rounded texture with bright plumy, cherry fruit flavors and a clean finish with hallmark spicy lingering flavors. Subtle oak characters impart a sweet, vanilla chocolate note."
"L'Aventure Estate Cuvee 2007",15.4,2007,95,"California","Other Red Blends","Red Wines","49% Syrah estate, 37% Cabernet Sauvignon estate, 14% Petit Verdot estate. Opaque ebony center, purple margins. Powerful, complex aromas of graphite, viande, dark fruit, licorice, tea-leaf...have we forgotten anything? Spicy notes introduced in the aroma linger like cloves and sage in a rich tapestry of flavors that include wild blackberry, tar, gooseberry, and acacia. The length of the finish is memorable. You really need to try this wine for yourself words do not do it justice!"
"Blackbird Vineyards Illustration Proprietary Red 2008",14.5,2008,85,"California","Other Red Blends","Red Wines","The 2008 Illustration offers intense aromatics of blackberry, black licorice, and dark chocolate. The rich and balanced mid-palate is rounded out with plush flavors of cherry, toffee, and cocoa powder. The finish possesses good length with dense, velvety tannins leading to a succulent tiramisu finish. Illustration is optimal to drink after decanting or can be laid down to develop further with time in the bottle. Blackbird's 2008 vintage wines offer incredible elegance and fruit concentration imparted by the low-yielding, high-quality Napa Valley growing season. Illustration represents the core the heart of Blackbird Vineyards. Every element of Blackbird's multi-faceted wine portfolio draws inspiration from this singular, Pomerol-inspired Merlot. It is an undiluted illustration of the passion, time and concentration invested in creating elegant, multi-layered wines. Illustration challenges the notion that Cabernet Sauvignon is the only age-worthy red wine crafted in the Napa Valley."
"St. Supery Dollarhide Limited Edition Cabernet Sauvignon 2006",14.3,2006,85,"California","Cabernet Sauvignon","Red Wines","The 2006 Dollarhide, at this young age, is a little closed up and tightly wound right now. After about 30 minutes in the glass, the wine begins to open up and show its fine pedigree. The wine is quite concentrated with black cherry and currant fruit notes. There is also a nice spiciness with a little white pepper, anise and even some spearmint. The tannins are big and well integrated which will give this wine excellent holding power over the next 15 to 20 years."
"Reguengos de Monsaraz Tinto 2012",14,2012,10.99,"Portugal","Other Red Blends","Red Wines","Wine which is crystalline in appearance, garnet-coloured, an aroma of red fruits and fermentation on skins, smooth and full-bodied with smooth tannins lending it a prolonged aftertaste, denoting its constituent grape varieties"
"Franciscan Merlot 2007",13.5,2007,21.99,"California","Merlot","Red Wines","Ruby red in color with sweet aromas of dark plum, tobacco and black cherry are layered with hints of sage, subtle vanilla, and toasty oak. Rich, complex, and alluring. The flavors are supple, elegant and seamless. Full flavors of dark berries, cocoa and vanilla with rich notes of earthy clove and spice. The smooth mouthfeel rounds out to a long finish."
"Caymus Special Selection Cabernet Sauvignon (1.5 Liter) 2008",15.4,2008,289,"California","Cabernet Sauvignon","Red Wines","The highly sought-after Caymus Special Selection isn't called special for nothing. This collectible wine is produced using select barrels of the finest Cabernet Sauvignon of the vintage. After tasting the 2008, we think it might actually be better than the heralded 2007 vintage. Plush, seductive, silky and complex - everything you want from this blue chip wine."
"Paraduxx Z Red Blend 2009",14.5,2009,44.99,"California","Other Red Blends","Red Wines","The aromas are complex and inviting, with lifted red fruit elements of raspberry and plum, as well as deeper bramble fruit notes and layers of vanilla, cream, nutmeg and cinnamon. A smooth, rich entry leads to sweet plum and lingering spice notes, with hints of cedar and clove. The wine's lush texture is supported by resolved tannins that lead to a full, ripe finish."
"Sensual Cabernet Sauvignon 2010",14.1,2010,9.99,"South America","Cabernet Sauvignon","Red Wines","The Sensual Cabernet Sauvignon exhibits classic Cabernet aromas of black pepper, cedar, slight herbal and berry notes are evident in the nose. This is a medium-to-full bodied wine with a soft, balanced mouth feel and flavors that are similar to the aromas. All the above lead to a pleasing, soft, berry-vanilla finish. The perfect accompaniment to a wide range of foods, especially the steaks and beef that are typical of Argentine cuisine. Blend: 100% Cabernet Sauvignon"
"Layer Cake Primitivo 2012",13.5,2012,15.99,"Italy","Primitivo","Red Wines","The Layer Cake Primitivo comes right at you with huge inky black fruit, spice and white pepper. Layered and rich in the mouth with jammy black cherries, truffles, espresso and a dense, creamy texture. Always in the background are hints of earth and minerals from the ancient sea beds that are the Puglia terroir. The Primitivo is always a go-to wine; it works with almost any food, and is great all by itself."
"Prunotto Barbaresco 2008",13.5,2008,46.99,"Italy","Nebbiolo","Red Wines","Prunotto Barbaresco is opaque garnet red in color, of good tonal intensity, complex in aroma with notes of red fruit and spices, full and velvety on the palate with a long finish and aftertaste. Its structured and full-bodied character make it an excellent match for meat dishes and for cheese."
"Altus Cabernet Sauvignon Napa Valley 2007",14.8,2007,79.99,"California","Cabernet Sauvignon","Red Wines","79% Cabernet Sauvignon, 12% Merlot, 4% Malbec, 5% Petit Verdot. 2007 marks our second vintage of Altvs, a handcrafted, small-production, Napa Valley Cabernet Sauvignon. This elegant wine features fruit from a handful of selected rows within our favorite vineyards located from Coombsville to St. Helena. The wine underwent malolactic fermentation in barrel and was aged in 100% French oak barrels, half of which were new. Small portions of Cabernet Franc, Petit Verdot, and Malbec were incorporated for added color, texture, aromatics and complexity. The 2007 Altvs Cabernet delivers balance, finesse and intense fruit concentration. The nose is lush and generous with huckleberry, blueberry, creme de cassis, crushed rocks, and cinnamon. The palate is a seamless fabric of acidity, wood, tannin, and alcohol. The finish is full, long, velvety and elegant. While the unusual opulence and structure of this wine allow it to be consumed in its youth, it will continue to evolve and improve over the next decade."
"DeLoach Van der Kamp Vineyard Pinot Noir 2009",15,2009,48.99,"California","Pinot Noir","Red Wines","The nose on this Pinot Noir is complex yet pleasing with aromas of berry fruit, brown spice and earth. Flavors of strawberry-rhubarb, cardamom, cinnamon, pine duff and peat meld together to complete this rich and enjoyable wine. With a medium body, this wine is very smooth and wide on the palate. The tannins are full and the finish is long with juicy red fruits."
"Kendall-Jackson Grand Reserve Merlot 2006",14.5,2006,30,"California","Merlot","Red Wines","Black plum, boysenberry, and cherry flavors dance amongst the violet, chocolate and cedar notes. This wine is smooth and the tannins are refined and round. In true Merlot character, this wine caresses the mouth and lingers beyond each sip."
"Argyle Pinot Noir 2010",13.4,2010,22.99,"Oregon","Pinot Noir","Red Wines","Imagine a walk down a Pacific Northwest forest trail in September, the warm, dry smell of firs and sunshine with ripe blackberries hanging off the vines and the cool trickle of a babbling brook over wet stones. That sums up the 2010 Argyle Willamette Valley Pinot Noir. This Pinot Noir has a surprising amount going on in the glass - from up front fruit to earthy complexity and spice nuances. Enjoy this taste of the Willamette Valley on the patio or on the forest trail."
"Bodegas Nieto Senetiner Cadus Malbec 2006",14.7,2006,44.99,"South America","Malbec","Red Wines","Made from 100% Malbec. The wine is fermented in French oak barrels for two years, with an additional year in bottle prior to release."
"Williams Selyem Hirsch Pinot Noir 1996",13.8,1996,99,"California","Pinot Noir","Red Wines","Subtle oak aromas frames pretty and still fresh, ripe and complex pinot fruit aromas and pure, intense, beautifully detailed and nuanced medium weight flavors that possess a persistent if slightly edgy finish."
"Mayacamas Cabernet Sauvignon 2004",13.8,2004,119,"California","Cabernet Sauvignon","Red Wines","Bright and vibrant, the 2004 Cabernet Sauvignon reminds one of cherries, bramble, and a bit of mint. This vintage is a good example of intense mountain fruitfulness. Deep and rich, it lingers beautifully on the tongue. Fun drinking for its intensity now, a few more years will give it the texture and complexity Mayacamas strives for."
"Clarendon Hills Sandown Vineyard Cabernet Sauvignon 2006",14.5,2006,70,"Australia","Cabernet Sauvignon","Red Wines","Deep Crimson. Seamlessly integrated extract provides a smoothly textured, classically structured expression that is fuller, rounder and more robust with varietal depth and primary nuance."
"Santa Alicia Reserva Pinot Noir 2012",13.9,2012,12,"South America","Pinot Noir","Red Wines","The 2012 Santa Alicia Reserva Pinot Noir displays red ruby color with clean and complex aromas of dry cherries, plums and strawberries. Notes of cinnamon and butterscotch. Good volume, firm tannin, expressive and complex. Pair with grilled Albacore. Grilled chicken and all pasta."
"Campo Viejo Reserva Rioja 2006",13.5,2006,14.79,"Spain","Tempranillo","Red Wines","This wine is ruby red with a gold rim. Bright, deep with a complex nose. One the fruit side, the sum of the sensations of the varieties make up its composition: jammy red fruit, cherries, black plums and also raspberries and blackberries. Its time in the barrel provides cloves, liquorice, pepper, vanilla, coconut blended and highlighted by the aromas produced during bottle ageing. On the palate, it has a smooth, balanced attack, elegant and full-bodied, with a long lingering finish in which cocoa and coffee come through. Delicious with red meat, game, roasts, mature and blue-vein cheeses."
"Quilceda Creek Cabernet Sauvignon (1.5 Liter Magnum) 2005",14.9,2005,589,"Washington","Cabernet Sauvignon","Red Wines","The 2003 vintage of this wine was ranked #2 on the Wine Spectator's Top 10 Wines of 2006 The 2005 Columbia Valley Cabernet Sauvignon (97% Cabernet Sauvignon, 3% Merlot) is loaded with blackberry, blueberry, plum and cassis with nuances of dark chocolate and violets. Classically structured, this complex wine has remarkable elegance and persistence on the long, pure finish. Approachable now, it should reach maturity around 2012 and age for 25 or more years. While we are particularly proud of the last three vintages of our flagship wine, the 2005 Cabernet Sauvignon easily rivals them as one of the best wines our estate has ever produced."
"Clos du Bois Marlstone 2006",14.5,2006,49.99,"California","Bordeaux Red Blends","Red Wines","75% Cabernet Sauvignon, 15% Merlot, 4% Petite Verdot, 3% Cabernet Franc and 3% Malbec. The 2006 Marlstone marries suave, concentrated structure with elegant fruit, making it as much a cellar selection as a natural fit for today's table. Inky black and ruby red in color, on the nose it pairs complex aromas of ripe wild blackberry fruit, plum and black licorice with pleasing notes of cigar box and brown spice. On the palate, the wine delivers powerfully rich blackberry and plum flavors and rich, supple tannins followed by a luxurious, lengthy finish, wrapped in velvety notes of mocha. Food Pairing: This intensely elegant, full-bodied Bordeaux blend calls for rich meats like steak, lamb and other robust fare."
"Vina Cobos Felino Cabernet Sauvignon 2010",14.5,2010,19.99,"South America","Cabernet Sauvignon","Red Wines","A brilliant shade garnet, lined with deep blackberry and blackcurrant aromas. Fresh and intense on the palate, with fruity Cabernet Sauvignon typicity backed by mocha, black pepper and bittersweet chocolate notes. The lengthy finish delivers a subtle, clean minerality supported on ripe, pliable tannins. Blend: 88% Cabernet Sauvignon, 8% Syrah, and 4% Petit Verdot"
"Dona Paula Estate Malbec 2009",14,2009,17,"South America","Malbec","Red Wines","Intense violet color; plums, black cherries, licorice and dried herbs aromas in the nose. Sweet, round and ample in the mouth, with a lingering finish."
"Martin Ray Santa Cruz Mountains Reserve Cabernet Sauvignon 2010",14.7,2010,55,"California","Cabernet Sauvignon","Red Wines","This wine is as eclectic and unique as the mountains from which it comes. The distinct bouquet showcases black cherries, plum and Christmas spices. The palate is fruit forward with hints of liqueur and caramelized soy sauce, with a long finish of rich, round tannins."
"Creta Roble 2010",14,2010,14.99,"Spain","Tempranillo","Red Wines","This 100% Tempranillo is opaque purple in color and offers up a bouquet of candied fruit, espresso, creamy spices, incense, and assorted black fruits. It is structured on the palate with layers of concentrated fruit and sweet tannins. Creta Roble is an Eric Solomon joint venture with Isaac Fernandez. Tank fermented 100% Tempranillo that has been aged in older American and French oak. Picked from a 70 year old vineyard located 2,700 ft. in elevation. Creta means Chalk which is an important mineral component found in the top vineyards of the Ribera del Duero."
"Michael David Winery Petite Petit 2011",14.5,2011,17.99,"California","Other Red Blends","Red Wines","Like elephants whose size is imposing, Petite Petit is large! A blend of 85% Petite Sirah and 15% Petit Verdot, offering a joyous explosion of color and fun! It is a substantial, dense, full-bodied, whopper style of wine loaded with pure black fruit and vanilla flavors that coat the palate. It reveals remarkable richness with a finish that is slightly dry and seems to linger."
"Montecastro Ribera del Duero Tinto 2006",14.5,2006,50,"Spain","Tempranillo","Red Wines","Deep purple color. Expressive nose of black fruit, aromatic herbs, and mineral notes with the elegance of wood. The mouthfeel is very dense, fleshy, with a structure of high quality and well integrated tannins. A wine combining power and elegance. Blend: 96% Tempranillo, 3% Merlot, 1% Cabernet Sauvignon"
"Yangarra Estate Shiraz 2009",14.5,2009,19.99,"Australia","Syrah/Shiraz","Red Wines","Shiraz from our estate vineyard adopts more of a cooler climate expression than the typical McLaren Vale style. Yangarra Shiraz is concentrated and complex with a heady illusion of sweet, dark fruit. The vineyard's elevation and cooler climate give rise to blackberry and black plum, savory herbs, spice with chicory and juniper tannins and the faintest whiff of harness leather."
"Gaja Barbaresco 2007",14.5,2007,209,"Italy","Nebbiolo","Red Wines","This is one of Italy's great red wines and the historic flagship of the Gaja family. Produced from Nebbiolo grapes, the wine takes its name from the village of its origin. GAJA Barbaresco has been in production since the winery's founding in 1859. The estate fruit for this iconic wine originates from 14 estate vineyards in Barbaresco and Treiso. The wine is garnet in color. The nose is almost sensual in its complexity, with aromas of forest fruits, plums, licorice, mineral and coffee scents. On the palate, long, complex finish with fine, silk-like tannins and good acidity; dense structure, full of super-ripe fruit."
"Glenelly Grand Vin de Glenelly 2007",14,2007,30,"South Africa","Bordeaux Red Blends","Red Wines","Grand Vin de Glenelly is the estate's signature red blend. It exhibits great intensity and complexity, with finegrained tannins that are firm yet elegant. The rich, savory character of Shiraz is enhanced by lush, concentrated flavors of blackberry, cherry and cassis, supported by floral tones and notes of tobacco and spice. 44% Shiraz, 31% Cabernet Sauvignon, 24% Merlot, 1% Petit Verdot"
"Dog Point Vineyard Pinot Noir 2009",14,2009,40,"New Zealand","Pinot Noir","Red Wines","Dog Point Pinot Noir is mouth-filling and elegant, with aromas of bright red fruits complemented by floral notes and a subtle, underlying varietal earthy character. Lifted rich fruit and well integrated spicy oak flavors show excellent balance with sweet tannins and a lingering soft finish."
"Terra Valentine Wurtele Vineyard Cabernet Sauvignon 2008",14.9,2008,75,"California","Cabernet Sauvignon","Red Wines","Well structured balance with aromas of dark cocoa and espresso surrounding the nose. The rich, dark fruit tannins coast the pallet lingering with a chewy finish and small hints of kirsch cherry liquor."
"Erath Pinot Noir 2009",13.5,2009,19.99,"Oregon","Pinot Noir","Red Wines","2009 offered a generous crop of beautiful Pinot Noir and this wine offers a commensurately impressive sensory payload. This lustrous beauty showcases aromas of raspberry pie with pleasing hints of mint, citrus and a provocative suggestion of smoke. Fresh and bright flavors on the palate are balanced with a blend of juicy cherry and racy pomegranate. An easy sipper yet enough acidity to pair beautifully with your favorite dish."
"Rombauer Merlot 2007",14.4,2007,31.99,"California","Merlot","Red Wines","The cooler climate of the Carneros region allows us to produce a Merlot which is true to the varietal's characteristics. The longer growing season allows the fruit to reach maturity slowly, giving us fruit which is soft and elegant, yet rich and full flavored. Elegant aromas of boysenberry and black cherry join with nuances of vanilla and plum. These aromas lead to a soft and supple mouth-feel, rich with blackberry and toffee flavors. Hints of spice and cranberry are supported by moderate tannins for a smooth finish. Our favorite pairings for this wine include chicken cacciatore, Cornish game hen, and parmesan risotto."
"Felsina Chianti Classico Riserva Rancia (1.5 Liter Magnum) 2006",13.5,2006,89,"Italy","Sangiovese","Red Wines","Brilliant, rich ruby red. Spicy nose with floral notes and wild berry nuances. Spice continues in the mouth, nicely complemented by a dense, soft fabric of youthful tannins; excellent structure and superb overall character."
"Kenwood Jack London Vineyard Merlot 2008",13.5,2008,25.99,"California","Merlot","Red Wines","The Jack London Ranch creates distinctive red wines that have a loyal following throughout the world. The red volcanic soil and pleasantly warm climate of this hillside vineyard combine to produce rich, full-bodied wines. Located on Sonoma Mountain with a southeastern exposure, this vineyard is above the fog level and gets early morning sun followed by late afternoon breezes that temper the day's most extreme heat. The result of this exceptional terroir is grapes of great distinction that make wines with superb flavor and deep, rich color. The rich fruit flavors found in this Merlot complement a wide range of dishes, including braised beef, rich stews and pastas."
"Mulderbosch Faithful Hound 2008",13.5,2008,22,"South Africa","Bordeaux Red Blends","Red Wines","Enticing aromas of blackcurrant and spice lead to bright, juicy flavors of ripe plum and blackberry, enhanced by a spicy nutmeg and clove character with signature Bordeaux notes of tobacco and forest floor."
"Parducci Sustainable Red Blend 2006",13.5,2006,14.99,"California","Other Red Blends","Red Wines","Sustainable Red has berry fruit flavors and spicy complexities. Enjoy this robust dry red wine with pasta, pizza, grilled meats, and flavorful cheeses. Parducci is locally owned and operated in California's Mendocino County. We are committed to Sustainable Winegrowing practices that yield top quality grapes and wines while protecting the environment and supporting our communities and local farmers. We are locally owned and operated, use grapes from family farms, use sustainable farming practices, use 100% green power, earth-friendly packaging, and are 1st US carbon neutral winery! 39% ZINFANDEL, 26% SYRAH, 23% CABERNET SAUVIGNON, 12% CARIGNANE"
"Senorio de Barahonda Nabucco 2011",14,2011,17.99,"Spain","Rhone Red Blends","Red Wines","Dark ruby. Blackberry and cassis on the spice- and violet-accented nose. Refreshingly bitter cherry and dark berry skin flavors are enlivened by zesty minerality and pick up subtle licorice and cracked pepper qualities with air. Finishes with youthfully firm tannins and good focus, leaving dark berry and floral notes behind."
"Luciano Sandrone Barolo Cannubi Boschis 2008",14.5,2008,165,"Italy","Nebbiolo","Red Wines","Deep red-black color with an intense, soaring perfume of strawberry, red cherries, rose petals and violets. In the mouth, this is very concentrated and intense but possesses good balance and structure, all framed by layers of red and black fruits. Great mid-palate presence, with less of the licorice but more of the floral aspects that Nebbiolo reveals. The ripe tannins will require a bit of patience but it is hard to resist this wine now. Good balance and a precise balance of oak give this wine a long sweet finish."
"Silverado SOLO Cabernet Sauvignon 2007",14.9,2007,80,"California","Cabernet Sauvignon","Red Wines","Pure ripe red fruit aromas with layers of earth and spice. Broad palate with plum fruit and hints of dried herb that lead to a finish with perfectly balanced tannin. Crafted entirely from grapes grown on Silverado's Stags Leap Vineyard surrounding the winery, SOLO has one driving philosophy: location. One of the first three vineyards planted to Cabernet in the appellation, Silverado's Stags Leap vineyard helped establish the reputation of the District. Specific clone selection, (Silverado's on Heritage Clone, UCD 30), micro block fermentation, a restrained approach to oak aging: everything Silverado does with SOLO is tailored to honor the purity of fruit which expresses this special site in the heart of Napa Valley."
"Alexander Valley Vineyards Cyrus (375ML half-bottle) 2008",14,2008,29.99,"California","Bordeaux Red Blends","Red Wines","The 2008 has intense color and dusty aromas of plum, black cherry, cassis and toasty oak. There are flavors of cherry, plum, vanilla, oak and blackberry. This seamless blend has a good structure on the finish and a long aftertaste. While Alexander Valley Vineyards releases Cyrus four years after harvest, the wine is still quite young. It will open up beautifully in the glass, but will easily benefit from additional bottle aging. Blend: 55% Cabernet Sauvignon, 28% Merlot, 7% Malbec, 6% Cabernet Franc, 4% Petite Verdot"
"James Oatley Tic Tok Cabernet Sauvignon 2010",13.8,2010,14,"Australia","Cabernet Sauvignon","Red Wines","This wine leads the new wave of Australian Cabernets that highlight the bright ripe cherry, blackcurrant and leafy notes of the variety. Generous 'forest fruits' ripe red berries to the fore, layered yet soft tannins and a lovely crisp, fresh finish that leaves you wanting for more."
"Verite La Muse 2008",14.5,2008,449.99,"California","Merlot","Red Wines","With supple fruit and spice, exceptional balance and impressive length, Verite La Muse is crafted primarily from Merlot. From its inception, every vintage of this special wine which honors the style of the great wines of Pomerol while celebrating the quality of our world-class fruit grown in Sonoma County has received outstanding critical acclaim. Blend: 90% Merlot, 7% Cabernet Franc, 3% Malbec"
"Terralsole Brunello di Montalcino Riserva 2004",14,2004,94.99,"Italy","Sangiovese","Red Wines","#31 Wine Spectator Top 100 of 2010 Intense rugy red color with garnet shades, limpid. The bouquet is etheral and complex, while the taste is potent with good structure, important tannins."
"Andrew Will Winery Champoux Vineyard Horse Heaven Hills 2008",14.5,2008,63.99,"Washington","Bordeaux Red Blends","Red Wines","Although this wine has much more Cabernet Sauvignon than the 2007, the wines seem to be more like sisters than cousins. The 2008 stands not in the shadows of 2007 as I had first thought it might but right next to it. It is a wine that although different in structure, nevertheless possesses all that it needs to satisfy now and in the future. Blend: 46% Cabernet Sauvignon, 26% Merlot, 23% Cabernet Franc, 5% Petit Verdot"
"Bodegas Lan Culmen Reserva 2007",14,2007,70,"Spain","Tempranillo","Red Wines","Intense and bright cherry colour. Ripe fruit nose, with hints of plums, cherries and wildberries. Spicy, roasted and balsamic aromas as well as mineral notes. Complex. Culmen is only produced from harvests of outstanding quality. Blend: 85% Tempranillo, 15% Graciano"
"Louis Martini Sonoma Cabernet Sauvignon 2012",13.9,2012,18,"California","Cabernet Sauvignon","Red Wines","Our Louis M. Martini Sonoma County Cabernet Sauvignon is a blend of the unique characteristics from several vineyards, creating a superbly balanced Cabernet Sauvignon. This wine has ripe flavors of black plum jam and black currant, a reflection of the warmer vintage. Hints of oak and a touch of baking spice support the fruit."
"Frescobaldi Castiglioni Chianti 2008",12.5,2008,15.79,"Italy","Sangiovese","Red Wines","Castiglioni exhibits a dense, purple-flecked ruby. Intense, well-defined fragrances spring from the nose, wild red berryfruit and bright cherry emerging first, then darker notes of dried plum and raspberry. Supple tannins and a bright acidity contribute to a fine balance and velvet mouthfeel, while emphatic notes of tasty fruit return on a long-lingering finale. Varieties: 90% Sangiovese, 10% Merlot"
"Vina Gormaz Tempranillo 2009",13,2009,14,"Spain","Tempranillo","Red Wines","Unoaked, from carefully chosen lots suitable for drinking young. Deep wild berry aromas and mouth filling flavor and length are provided by the old Tempranillo vines. Tannins are ample but balanced by the textural richness and juicy fruit. A superb value."
"DeLoach Russian River Pinot Noir (375ML half-bottle) 2007",14.5,2007,13.99,"California","Pinot Noir","Red Wines","Ripe raspberries lift from the glass and mingle with tempting aromas of strawberry-rhubarb tart and cola. Delicate notes of anise, cardamom and gingerbread spice lace the fruit to unfold a rich palate of black cherries supported by medium-fine-grained tannins. The finish lingers with attractive, subtle, toasty undertones, fine acid, and excellent balance. Pairs beautifully with barbequed leg of lamb or braised pork tenderloin."
"De Bortoli DB Petite Sirah 2008",13.5,2008,7.99,"Australia","Petite Sirah","Red Wines","Deep purple/ink hues. Rich ripe plum with sweet, well integrated mocha/chocolate oak. Concentrated palate with rich, spicy fruit flavors and firm tannins. Suggested with spicy red meat dishes, casseroles, or a juicy steak."
"Vina Sastre Ribera del Duero 2011",13.5,2011,19.99,"Spain","Tempranillo","Red Wines","2011 was a good vintage that yielded good sugars and resulted in balanced acidity with sweet tannins. Bright red fruit with notes of mushrooms and toast. The palate is soft and accessible."
"Agricola la Vina Syrah Colchagua Valley Polkura 2008",14.6,2008,22.99,"South America","Syrah/Shiraz","Red Wines","#89 Wine Spectator Top 100 of 2010 Deep purple colour. The typical spicy nose is combined with black fruit, although the fruity character dominates in 2008. This is a full bodied wine with very intense tannins. It has depth and is extremely velvety. The acidity is in good balance with the sweetness of the alcohol. The wine is still young but very complex with many layers and has a very long finish."
"Duckhorn The Discussion 2010",14.5,2010,125,"California","Bordeaux Red Blends","Red Wines","Over three decades ago, before crafting their first vintage, the Duckhorns and their winemaker had a passionate discussion at the kitchen table. Though they debated making a cuvee, they chose to focus on varietal wines. Even so, Duckhorn Vineyards has always remained fascinated by the artful blend of varietals from diverse Napa Valley vineyards. Embodying the depth and complexity of a world class Estate program, The Discussion represents the pinnacle of the Duckhorn Vineyards portfolio and the ongoing dialogue that defines great winemaking. The Discussion is blended using barrels of the best Estate wine from the 2010 vintage. While there is abundant, rich upfront fruit in the aromas and on the palate, what makes this wine so noteworthy is its layered sophistication. Dark berry and gamey aromas offer a beautiful prelude to a rich, velvety mouthfeel with fine-grained tannins. Elegantly integrated oak adds hints of sweet baking spice, oak and kernal characteristics, while providing length and dimension."
"Peter Lehmann Eight Songs Shiraz 2009",14.5,2009,41.99,"Australia","Syrah/Shiraz","Red Wines","A densely coloured Shiraz from the excellent 2009 vintage showing layers of dark chocolate and black forest fruits. The palate is rich and soft, finishing with fine tannins in the Eight Songs tradition. While drinking beautifully now, the wine can be cellared with confidence for a few more years if desired. 8 Songs Shiraz sings with rare roast beef, rich casseroles, beef and game pies, and of course, a great aged cheddar."
"Gouguenheim Winery Malbec Reserva 2010",13.5,2010,14,"South America","Malbec","Red Wines","Deep purple color with aromas of red fruits, chocolate and coffe beans. Red and black cherry flavors with scents of flower. Very nice fresh oak on the finish, very complex and yet balanced."
"Louis Jadot Pinot Noir 2008",12.5,2008,19.99,"France - Other regions","Pinot Noir","Red Wines","Pinot Noir Jadot is a pure varietal wine produced from Pinot Noir musts and wines selected from village-level vineyard sites throughout the Cote d'Or and Cote Chalonnaise. As with several of their smaller wines, Maison Louis Jadot practices a replis to improve the quality of the wine by declassifying some wines of higher appellation to be incorporated into the blend. The final lots are carefully chosen, and, depending on the vintage, aged for a number of months in oak casks to evoke the clean, ripe red berry flavors and earthiness of the grape mellowed by a subtle touch of wood. Reflective of the Jadot style, Pinot Noir Jadot is harmonious and balanced, with a plump fruitiness and silky texture offset by round, gentle tannins in a wine of medium body and elegant structure. The very typical, fragrant varietal bouquet is complemented by a delicious, lingering finish."
"Charles Krug Yountville Cabernet Sauvignon 2007",13.9,2007,25.99,"California","Cabernet Sauvignon","Red Wines","Our Peter Mondavi Family Cabernet Sauvignon is supple and harmonious. Aromas of dark chocolate, orange peel and roasted chestnuts combine with wild berries, coffee and peanut brittle flavors. The 2007 season began dry, about 60% of normal precipitation with some very cold days and single-digit night time temperatures around the New Year holiday. Temperatures were warmer than normal as winter continued into spring with resulting earlier budding, bloom and set in the vineyards across all varieties. The summer months remained cool, with few days topping 100 degrees except for a brief heat spike around Labor Day. Clusters, as well as individual berries, were notably smaller in all varieties due to the dry season."
"Rochioli Pinot Noir 2006",14.2,2006,66.99,"California","Pinot Noir","Red Wines","The grapes for this Pinot Noir were selected from Rochioli's many different vineyard sites. The wine possesses the typical Rochioli character and classic Russian River Valley charm. It displays full body and a silky texture finish with a firm and balanced structure. The blend is 70% Sweetwater vineyard, 8% Little Hill vineyard and 22% from different vineyards on Rochioli's property. Deep red in color. There is a black cherry jam nose intermixed with earth, smoke, violets and vanilla. The wine is full-bodied, long and silky with flavors of black cherry and vanilla."
"Ruta 22 Malbec 2009",14.5,2009,15.29,"South America","Malbec","Red Wines","Intense red violet color. On the nose, a character of red fruit, with a hint of cassis. On the palate, fruity with fresh acidity and firm tannins. Highly recommended with red meats, cheeses made from cow milk and pastas with light sauces."
